order_id,order_timestamp,customer_id,country,amount,currency,status
O-1001,2025-11-01T10:00:00Z,C-0001,US,66.77,USD,CANCELLED
O-1002,2025-11-01T10:07:00Z,C-0002,AU,358.12,AUD,CREATED
O-1003,2025-11-01T10:14:00Z,C-0003,US,1024.75,USD,CREATED
O-1004,2025-11-01T10:21:00Z,C-0004,US,898.02,USD,PAID
O-1005,2025-11-01T10:28:00Z,C-0005,US,167.73,USD,PAID
O-1006,2025-11-01T10:35:00Z,C-0006,GB,914.97,GBP,CREATED
O-1007,2025-11-01T10:42:00Z,C-0007,AU,1082.55,AUD,CREATED
O-1008,2025-11-01T10:49:00Z,C-0008,GB,646.69,GBP,CANCELLED
O-1009,2025-11-01T10:56:00Z,C-0009,GB,438.94,GBP,PAID
O-1010,2025-11-01T11:03:00Z,C-0010,AU,1056.26,AUD,CANCELLED
O-1011,2025-11-01T11:10:00Z,C-0011,CA,258.55,CAD,CANCELLED
O-1012,2025-11-01T11:17:00Z,C-0012,US,166.34,USD,PAID
O-1013,2025-11-01T11:24:00Z,C-0013,CA,1275.82,CAD,CREATED
O-1014,2025-11-01T11:31:00Z,C-0014,CA,1216.48,CAD,CREATED
O-1015,2025-11-01T11:38:00Z,C-0015,IN,818.26,INR,CANCELLED
O-1016,2025-11-01T11:45:00Z,C-0016,US,841.5,USD,CREATED
O-1017,2025-11-01T11:52:00Z,C-0017,GB,1331.61,GBP,CANCELLED
O-1018,2025-11-01T11:59:00Z,C-0018,GB,312.66,GBP,PAID
O-1019,2025-11-01T12:06:00Z,C-0019,US,1002.06,USD,CANCELLED
O-1020,2025-11-01T12:13:00Z,C-0020,US,1287.32,USD,PAID
O-1021,2025-11-01T12:20:00Z,C-0021,IN,438.62,INR,CREATED
O-1022,2025-11-01T12:27:00Z,C-0022,CA,269.1,CAD,CANCELLED
O-1023,2025-11-01T12:34:00Z,C-0023,AU,1015.16,AUD,CREATED
O-1024,2025-11-01T12:41:00Z,C-0024,US,925.42,USD,PAID
O-1025,2025-11-01T12:48:00Z,C-0025,GB,1101.82,GBP,PAID
O-1026,2025-11-01T12:55:00Z,C-0026,IN,587.8,INR,CREATED
O-1027,2025-11-01T13:02:00Z,C-0027,GB,352.83,GBP,CANCELLED
O-1028,2025-11-01T13:09:00Z,C-0028,US,366.7,USD,PAID
O-1029,2025-11-01T13:16:00Z,C-0029,CA,619.71,CAD,PAID
O-1030,2025-11-01T13:23:00Z,C-0030,AU,1372.31,AUD,CREATED
O-1031,2025-11-01T13:30:00Z,C-0031,CA,342.56,CAD,CANCELLED
O-1032,2025-11-01T13:37:00Z,C-0032,IN,1330.48,INR,CREATED
O-1033,2025-11-01T13:44:00Z,C-0033,IN,240.02,INR,PAID
O-1034,2025-11-01T13:51:00Z,C-0034,AU,1125.13,AUD,CREATED
O-1035,2025-11-01T13:58:00Z,C-0035,CA,1128.11,CAD,CANCELLED
O-1036,2025-11-01T14:05:00Z,C-0036,GB,617.12,GBP,PAID
O-1037,2025-11-01T14:12:00Z,C-0037,AU,779.0,AUD,PAID
O-1038,2025-11-01T14:19:00Z,C-0038,US,1295.82,USD,PAID
O-1039,2025-11-01T14:26:00Z,C-0039,AU,1194.36,AUD,CANCELLED
O-1040,2025-11-01T14:33:00Z,C-0040,GB,123.39,GBP,CANCELLED
O-1041,2025-11-01T14:40:00Z,C-0041,GB,1494.3,GBP,CREATED
O-1042,2025-11-01T14:47:00Z,C-0042,CA,1457.49,CAD,PAID
O-1043,2025-11-01T14:54:00Z,C-0043,US,1032.11,USD,CREATED
O-1044,2025-11-01T15:01:00Z,C-0044,CA,1159.84,CAD,CANCELLED
O-1045,2025-11-01T15:08:00Z,C-0045,US,461.45,USD,PAID
O-1046,2025-11-01T15:15:00Z,C-0046,IN,34.77,INR,CREATED
O-1047,2025-11-01T15:22:00Z,C-0047,CA,1458.68,CAD,PAID
O-1048,2025-11-01T15:29:00Z,C-0048,GB,1371.56,GBP,CREATED
O-1049,2025-11-01T15:36:00Z,C-0049,CA,1267.25,CAD,CREATED
O-1050,2025-11-01T15:43:00Z,C-0050,GB,322.4,GBP,CANCELLED
O-1051,2025-11-01T15:50:00Z,C-0051,AU,822.89,AUD,CREATED
O-1052,2025-11-01T15:57:00Z,C-0052,US,910.45,USD,CANCELLED
O-1053,2025-11-01T16:04:00Z,C-0053,US,194.45,USD,CANCELLED
O-1054,2025-11-01T16:11:00Z,C-0054,CA,381.99,CAD,PAID
O-1055,2025-11-01T16:18:00Z,C-0055,GB,1422.02,GBP,PAID
O-1056,2025-11-01T16:25:00Z,C-0056,IN,1229.55,INR,CREATED
O-1057,2025-11-01T16:32:00Z,C-0057,AU,218.74,AUD,CANCELLED
O-1058,2025-11-01T16:39:00Z,C-0058,GB,272.74,GBP,CREATED
O-1059,2025-11-01T16:46:00Z,C-0059,GB,652.01,GBP,PAID
O-1060,2025-11-01T16:53:00Z,C-0060,GB,1140.24,GBP,CREATED
O-1061,2025-11-01T17:00:00Z,C-0061,AU,1078.03,AUD,CANCELLED
O-1062,2025-11-01T17:07:00Z,C-0062,CA,674.01,CAD,CREATED
O-1063,2025-11-01T17:14:00Z,C-0063,IN,207.88,INR,PAID
O-1064,2025-11-01T17:21:00Z,C-0064,US,526.99,USD,CREATED
O-1065,2025-11-01T17:28:00Z,C-0065,GB,368.27,GBP,PAID
O-1066,2025-11-01T17:35:00Z,C-0066,US,134.36,USD,CREATED
O-1067,2025-11-01T17:42:00Z,C-0067,US,366.54,USD,PAID
O-1068,2025-11-01T17:49:00Z,C-0068,CA,134.16,CAD,PAID
O-1069,2025-11-01T17:56:00Z,C-0069,CA,1013.4,CAD,PAID
O-1070,2025-11-01T18:03:00Z,C-0070,GB,224.5,GBP,CREATED
O-1071,2025-11-01T18:10:00Z,C-0071,GB,724.83,GBP,CANCELLED
O-1072,2025-11-01T18:17:00Z,C-0072,IN,309.9,INR,PAID
O-1073,2025-11-01T18:24:00Z,C-0073,IN,550.82,INR,CANCELLED
O-1074,2025-11-01T18:31:00Z,C-0074,IN,1299.84,INR,PAID
O-1075,2025-11-01T18:38:00Z,C-0075,US,119.1,USD,CREATED
O-1076,2025-11-01T18:45:00Z,C-0076,CA,1206.87,CAD,PAID
O-1077,2025-11-01T18:52:00Z,C-0077,AU,311.64,AUD,CREATED
O-1078,2025-11-01T18:59:00Z,C-0078,IN,236.07,INR,PAID
